title,author_first_last,author_last_first,isbn,isbn13,my_rating,avg_rating,publisher,binding,num_pages,year_published,date_read,genre,age_group,read
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",1627792120,9.78163E+12,5,4.47,Henry Holt & Company,Hardcover,480,2015,2020-02-13,Fantasy,Adult,TRUE
The Very Hungry Caterpillar,Eric Carle,"Carle, Eric",,,5.0,4.34,Penguin Random House,Hardcover,26,1969,2005-01-01,Fiction,Children,True
The Awakening,Kate Chopin,"Chopin, Kate",0543898083,9.78054E+12,,3.68,Elibron Classics,Paperback,195,1899,2018-01-01,Fiction,Adult,TRUE
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",0439023513,9.78044E+12,,4.1,Scholastic Press,Hardcover,390,2010,2018-07-24,Dystopian,Young Adult,FALSE
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",0439023483,9.78044E+12,4,4.34,Scholastic Press,Hardcover,374,2008,,Dystopian,Young Adult,TRUE
I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",1945492600,9.78195E+12,,4.22,Transit Books,Paperback,208,1995,,Dystopian,Adult,FALSE
The Wife Upstairs,Rachel Hawkins,"Hawkins, Rachel",1250245508,9.78125E+12,3,3.73,Griffin,Paperback,324,2021,2022-02-04,Thriller,Adult,TRUE
Happy Place,Emily Henry,"Henry, Emily",0593441273,9.78059E+12,,3.97,Berkley,Hardcover,400,2023,2023-04-13,Fiction,Adult,TRUE
A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",1594489505,9.78159E+12,5,4.44,Riverhead Books,Hardcover,372,2007,2016-01-10,Fiction,Adult,TRUE
None of This Is True,Lisa Jewell,"Jewell, Lisa",1982179007,9.78198E+12,,4.1,Atria Books,Hardcover,390,2023,,Thriller,Adult,FALSE
Yellowface,R.F. Kuang,"Kuang, R.F.",000853277X,9.78001E+12,5,3.75,William Morrow,Hardcover,323,2023,2024-03-10,Fiction,Adult,TRUE
The Night Circus,Erin Morgenstern,"Morgenstern, Erin",0307744434,9.78031E+12,5,4.01,Anchor,Paperback,516,2011,2020-06-20,Fantasy,Young Adult,TRUE
Intermezzo,Sally Rooney,"Rooney, Sally",0374602638,9.78037E+12,,3.97,"Farrar, Straus and Giroux",Hardcover,454,2024,,Fiction,Adult,FALSE
"Divine Rivals (Letters of Enchantment, #1)",Rebecca Ross,"Ross, Rebecca",1250857430,9.78125E+12,5,4.17,Wednesday Books,Hardcover,357,2023,2023-12-09,Fantasy,Young Adult,TRUE
"Ruthless Vows (Letters of Enchantment, #2)",Rebecca Ross,"Ross, Rebecca",1250857457,9.78125E+12,,4.01,Wednesday Books,Hardcover,420,2023,,Fantasy,Young Adult,TRUE
Middle of the Night,Riley Sager,"Sager, Riley",0593472373,9.78059E+12,,3.69,Dutton,Hardcover,367,2024,,Thriller,Adult,FALSE
The Only One Left,Riley Sager,"Sager, Riley",0593183223,9.78059E+12,,4.14,Dutton,Hardcover,383,2023,2024-03-01,Thriller,Adult,TRUE
The Invisible Life of Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E",0765387565,9.78077E+12,5,4.18,Tor Books,Hardcover,448,2020,,Fantasy,Adult,TRUE
"Vicious (Villains, #1)",Victoria E. Schwab,"Schwab, Victoria E",1250183502,9.78125E+12,5,4.2,Tor Books,Paperback,364,2013,2022-11-03,Fantasy,Adult,TRUE
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",149267012X,9.78149E+12,3,3.8,Sourcebooks Landmark,Paperback,458,2018,,Mystery,Adult,TRUE
